year,month,REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,01,2018-01-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,100.0,,,,1
2018,01,2018-01-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,100.0,,,,1
2018,02,2018-02-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,100.6074411541382,,,,1
2018,02,2018-02-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.0,,,,1
2018,02,2018-02-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.21474588403723,,,,1
2018,02,2018-02-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.81699346405229,,,,1
2018,02,2018-02-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,101.74482006543076,,,,1
2018,02,2018-02-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.36443148688046,,,,1
2018,02,2018-02-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.39968025579536,,,,1
2018,02,2018-02-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,102.05724508050089,,,,1
2018,02,2018-02-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,100.5514705882353,,,,1
2018,02,2018-02-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,100.69659442724459,,,,1
2018,02,2018-02-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,100.71315372424723,,,,1
